REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION,GHEL03,S1D1,2066,0.1116441439089442
REGION,GHEL03,S1D1,2067,0.1116441439089442
REGION,GHEL03,S1D1,2068,0.1116441439089442
REGION,GHEL03,S1D1,2069,0.1116441439089442
REGION,GHEL03,S1D1,2070,0.1116441439089442
REGION,GHEL03,S1D2,2015,0.1461837763556875
REGION,GHEL03,S1D2,2016,0.1461837763556875
REGION,GHEL03,S1D2,2017,0.1461837763556875
REGION,GHEL03,S1D2,2018,0.1461837763556875
REGION,GHEL03,S1D2,2019,0.1461837763556875
REGION,GHEL03,S1D2,2020,0.1461837763556875
REGION,GHEL03,S1D2,2021,0.1461837763556875
REGION,GHEL03,S1D2,2022,0.1461837763556875
REGION,GHEL03,S1D2,2023,0.1461837763556875
REGION,GHEL03,S1D2,2024,0.1461837763556875
REGION,GHEL03,S1D2,2025,0.1461837763556875
REGION,GHEL03,S1D2,2026,0.1461837763556875
REGION,GHEL03,S1D2,2027,0.1461837763556875
REGION,GHEL03,S1D2,2028,0.1461837763556875
REGION,GHEL03,S1D2,2029,0.1461837763556875
REGION,GHEL03,S1D2,2030,0.1461837763556875
REGION,GHEL03,S1D2,2031,0.1461837763556875
REGION,GHEL03,S1D2,2032,0.1461837763556875
REGION,GHEL03,S1D2,2033,0.1461837763556875
REGION,GHEL03,S1D2,2034,0.1461837763556875
REGION,GHEL03,S1D2,2035,0.1461837763556875
REGION,GHEL03,S1D2,2036,0.1461837763556875
REGION,GHEL03,S1D2,2037,0.1461837763556875
REGION,GHEL03,S1D2,2038,0.1461837763556875
REGION,GHEL03,S1D2,2039,0.1461837763556875
REGION,GHEL03,S1D2,2040,0.1461837763556875
REGION,GHEL03,S1D2,2041,0.1461837763556875
REGION,GHEL03,S1D2,2042,0.1461837763556875
REGION,GHEL03,S1D2,2043,0.1461837763556875
REGION,GHEL03,S1D2,2044,0.1461837763556875
REGION,GHEL03,S1D2,2045,0.1461837763556875
REGION,GHEL03,S1D2,2046,0.1461837763556875
REGION,GHEL03,S1D2,2047,0.1461837763556875
REGION,GHEL03,S1D2,2048,0.1461837763556875
REGION,GHEL03,S1D2,2049,0.1461837763556875
REGION,GHEL03,S1D2,2050,0.1461837763556875
REGION,GHEL03,S1D2,2051,0.1461837763556875
REGION,GHEL03,S1D2,2052,0.1461837763556875
REGION,GHEL03,S1D2,2053,0.1461837763556875
REGION,GHEL03,S1D2,2054,0.1461837763556875
REGION,GHEL03,S1D2,2055,0.1461837763556875
REGION,GHEL03,S1D2,2056,0.1461837763556875
REGION,GHEL03,S1D2,2057,0.1461837763556875
REGION,GHEL03,S1D2,2058,0.1461837763556875
REGION,GHEL03,S1D2,2059,0.1461837763556875
REGION,GHEL03,S1D2,2060,0.1461837763556875
REGION,GHEL03,S1D2,2061,0.1461837763556875
REGION,GHEL03,S1D2,2062,0.1461837763556875
REGION,GHEL03,S1D2,2063,0.1461837763556875
REGION,GHEL03,S1D2,2064,0.1461837763556875
REGION,GHEL03,S1D2,2065,0.1461837763556875
REGION,GHEL03,S1D2,2066,0.1461837763556875
REGION,GHEL03,S1D2,2067,0.1461837763556875
REGION,GHEL03,S1D2,2068,0.1461837763556875
REGION,GHEL03,S1D2,2069,0.1461837763556875
REGION,GHEL03,S1D2,2070,0.1461837763556875
REGION,GHEL03,S2D1,2015,0.1051990459660423
REGION,GHEL03,S2D1,2016,0.1051990459660423
REGION,GHEL03,S2D1,2017,0.1051990459660423
REGION,GHEL03,S2D1,2018,0.1051990459660423
REGION,GHEL03,S2D1,2019,0.1051990459660423
